Epoch: 1, Train loss: 5.546900915154277, Eval loss: 5.305406630039215, patience: 1. Time 125.02746820449829
Epoch: 2, Train loss: 5.293935763884258, Eval loss: 5.149817943572998, patience: 1. Time 125.26343369483948
Epoch: 3, Train loss: 5.042433066462843, Eval loss: 4.936999559402466, patience: 1. Time 124.81762528419495
Epoch: 4, Train loss: 4.794279813955951, Eval loss: 4.834623992443085, patience: 1. Time 125.68653130531311
Epoch: 5, Train loss: 4.592393479159009, Eval loss: 4.742243647575378, patience: 1. Time 125.11595606803894
Epoch: 6, Train loss: 4.440871415515524, Eval loss: 4.705848455429077, patience: 1. Time 125.95306372642517
Epoch: 7, Train loss: 4.340307694428379, Eval loss: 4.669081270694733, patience: 1. Time 124.59536933898926
Epoch: 8, Train loss: 4.24900852943199, Eval loss: 4.606051027774811, patience: 1. Time 124.6334981918335
Epoch: 9, Train loss: 4.148647467439953, Eval loss: 4.620271563529968, patience: 1. Time 124.55726170539856
Epoch: 10, Train loss: 4.0993740618147765, Eval loss: 4.567406117916107, patience: 2. Time 126.19008445739746
